Block and pathway,General name,Scientific name,Trunks,Circumference (in cm),DBH (in cm),Adjusted DBH  (in cm),Hight (in M),Density,AGB  Stem,AGB Foliage Biomass,BGB (in Kg),TB (in Kg)
Outer road,False Ashoka,Polyalthia longifolia,1,8,2.5465,2.5465,8,520,0.1773,0.0071,0.0369,0.2212
Outer road,Mango,Mangifera indica,1,8,2.5465,2.5465,9,520,0.1989,0.0080,0.0414,0.2482
Outer road,False Ashoka,Polyalthia longifolia,1,8,2.5465,2.5465,12,520,0.2633,0.0105,0.0548,0.3286
Outer road,False Ashoka,Polyalthia longifolia,1,8,2.5465,2.5465,11,520,0.2419,0.0097,0.0503,0.3019
BW Block D-Mess,Guava,Psidium guajava,3,8,2.5465,3.3514,9,670,0.4353,0.0174,0.0906,0.5433
BW Block C-D,Guava,Psidium guajava,4,8,2.5465,3.6013,11,670,0.6093,0.0244,0.1267,0.7605
BW Block B-C,Coromandel Ailanto,Ailanthus excelsa,2,10,3.1831,3.7854,6,540,0.3011,0.0120,0.0626,0.3758
Mess front,Bamboo,Bambusa sp.,37,10,3.1831,3.1831,16,600,0.6198,0.0248,0.1289,0.7736
Outer road,Mango,Mangifera indica,1,10,3.1831,3.1831,11,520,0.3739,0.0150,0.0778,0.4667
BW Block A-B,Mango,Mangifera indica,10,10,3.1831,5.6604,11,520,1.1503,0.0460,0.2393,1.4355
Outer road,False Ashoka,Polyalthia longifolia,1,10,3.1831,3.1831,10,520,0.3407,0.0136,0.0709,0.4252
Outer road,False Ashoka,Polyalthia longifolia,1,10,3.1831,3.1831,13,520,0.4402,0.0176,0.0916,0.5493
Outer road,False Ashoka,Polyalthia longifolia,1,10,3.1831,3.1831,13,520,0.4402,0.0176,0.0916,0.5493
BW Block B-C,Guava,Psidium guajava,2,10,3.1831,3.7854,12,670,0.7312,0.0292,0.1521,0.9125
BW Block B-C,guava,Psidium guajava,5,10,3.1831,4.7598,12,670,1.1434,0.0457,0.2378,1.4270
BW Block A-B,Coromandel Ailanto,Ailanthus excelsa,2,12,3.8197,4.5424,5.5,540,0.3949,0.0158,0.0821,0.4928
BW Block A-B,Coromandel Ailanto,Ailanthus excelsa,3,12,3.8197,5.0270,6,540,0.5239,0.0210,0.1090,0.6539
Outer road,mango,Mangifera indica,1,12,3.8197,3.8197,12,520,0.5811,0.0232,0.1209,0.7252
BW Block C-D,Mango,Mangifera indica,2,12,3.8197,4.5424,11,520,0.7486,0.0299,0.1557,0.9343
Outer road,False Ashoka,Polyalthia longifolia,1,12,3.8197,3.8197,14,520,0.6754,0.0270,0.1405,0.8429
Outer road,False Ashoka,Polyalthia longifolia,1,12,3.8197,3.8197,9,520,0.4388,0.0176,0.0913,0.5477
BW Block F - E,Guava ,Psidium guajava,5,12,3.8197,5.7118,9,670,1.2326,0.0493,0.2564,1.5383
Outer road,False Ashoka,Polyalthia longifolia,1,14,4.4563,4.4563,11,520,0.7212,0.0288,0.1500,0.9000
Outer road,False Ashoka,Polyalthia longifolia,1,14,4.4563,4.4563,10,520,0.6571,0.0263,0.1367,0.8201
BW Block F - E,Guava,Psidium guajava,3,14,4.4563,5.8649,8,670,1.1570,0.0463,0.2406,1.4439
