common_name,scientific_name,trees,total_agb_kg,total_bgb_kg,total_biomass_kg,carbon_stock_kg,co2e_kg,carbon_share_percent
False Ashoka,Polyalthia longifolia,102,473.02757630736215,94.60551526147243,567.6330915688346,266.78755303735227,978.2210278036249,26.200263986929883
pipal,Ficus religiosa,2,293.49547712002493,58.699095424004994,352.19457254402994,165.53144909569406,606.9486466842116,16.256259390928264
Neem,Azadirachta indica,31,277.70040304408957,55.54008060881792,333.24048365290747,156.6230273168665,574.2844334951772,15.381394729309218
Taad,Borassus flabellifer,6,184.53740756825118,36.90748151365024,221.44488908190144,104.07909786849368,381.62335885114345,10.221240866114393
Jamun,Syzygium cumini,13,150.6682680613702,30.133653612274045,180.80192167364424,84.97690318661279,311.5819783509136,8.3452817454693
Mango,Mangifera indica,17,69.39407167520154,13.87881433504031,83.27288601024185,39.13825642481366,143.50694022431676,3.8436300293766115
Dead Sisam,Dalbergia sissoo,2,56.775303395379595,11.355060679075919,68.13036407445551,32.021271114994086,117.41132742164498,3.14469602070392
Sagwan/Teek,Tectona grandis,8,53.857549262174466,10.771509852434892,64.62905911460936,30.375657783866394,111.37741187417679,2.983086143462308
Sisham,Dalbergia sissoo,3,45.08649185407213,9.017298370814427,54.10379022488655,25.42878140569668,93.23886515422116,2.497270873809875
Guava,Psidium guajava,10,32.609402260892175,6.5218804521784355,39.13128271307061,18.391702875143185,67.43624387552501,1.8061842279068534
Kadam,Neolamarckia cadamba,2,32.03872359170457,6.407744718340915,38.44646831004548,18.069840105721376,66.25608038764504,1.7745752213006303
Coromandel Ailanto,Ailanthus excelsa,6,29.771985680591648,5.95439713611833,35.72638281670998,16.79139992385369,61.568466387463516,1.649024123151226
Pipal,Ficus religiosa,1,24.214448649113404,4.842889729822681,29.057338378936084,13.656949038099958,50.07547980636651,1.3412007643556376
Sisam,Dalbergia sissoo,3,16.894117869080553,3.3788235738161108,20.272941442896663,9.52828247816143,34.93703575325858,0.9357389931715292
Mulberry,Morus alba,6,16.131343871940352,3.2262687743880702,19.35761264632842,9.098077943774358,33.35961912717265,0.8934901242082256
mango,Mangifera indica,4,15.05630245729598,3.011260491459196,18.067562948755175,8.491754585914933,31.136433481688087,0.8339452471834171
Dead neem,Azadirachta indica,1,10.321486051473489,2.064297210294698,12.385783261768186,5.821318133031047,21.344833154447173,0.5716911081528654
Amaltash,Cassia fistula,1,5.111993289132919,1.022398657826584,6.134391946959504,2.8831642150709667,10.571602121926878,0.2831453817560698
water caltrop,Trapa natans,1,3.397860574845235,0.679572114969047,4.077432689814282,1.9163933642127124,7.026775668779945,0.1882022286030112
Kathal,Artocarpus heterophyllus,1,3.3453502516174316,0.6690700503234863,4.014420301940918,1.8867775419122312,6.918184320344848,0.18529376322061766
jamun,Syzygium cumini,1,2.615773803132214,0.5231547606264428,3.1389285637586566,1.4752964249665685,5.409420224877418,0.14488365500202427
waterberries,Syzygium genus,1,2.4131473429489465,0.48262946858978933,2.895776811538736,1.3610151014232057,4.990388705218421,0.1336604895599969
Bamboo,Bambusa sp.,2,2.0609352295087557,0.41218704590175115,2.473122275410507,1.162367469442938,4.262014054624107,0.11415200672784309
mulberry,Morus alba,1,1.6208517618384017,0.3241703523676804,1.9450221142060822,0.9141603936768585,3.3519214434818143,0.0897764658360058
Sapodilla,Manilkara zapota,1,1.4002487431198813,0.2800497486239763,1.6802984917438577,0.7897402911196131,2.8957144007719147,0.07755760669071309
guava,Psidium guajava,1,1.1891358122759674,0.2378271624551935,1.426962974731161,0.6706725981236457,2.459132859786701,0.06586438879770178
gulmohar,Delonix regia,1,0.6949177792740455,0.13898355585480912,0.8339013351288547,0.39193362751056166,1.437089967538726,0.03849041827185265
