block_pathway,common_name,scientific_name,trunks,circumference_cm,dbh_cm,adjusted_dbh_cm,height_m,density,agb_stem_calculated_kg,agb_foliage_calculated_kg,agb_total_kg,bgb_calculated_kg,total_biomass_calculated_kg,carbon_stock_kg,co2e_kg
Outer road,False Ashoka,Polyalthia longifolia,1,8,2.5465,2.5465,8.0,520,0.17727692880533186,0.007091077152213274,0.18436800595754513,0.03687360119150903,0.22124160714905416,0.10398355536005545,0.3812730363202033
Outer road,Mango,Mangifera indica,1,8,2.5465,2.5465,9.0,520,0.19887357517996126,0.007954943007198451,0.20682851818715972,0.041365703637431944,0.24819422182459167,0.11665128425755808,0.4277213756110463
Outer road,False Ashoka,Polyalthia longifolia,1,8,2.5465,2.5465,12.0,520,0.2633402770383245,0.010533611081532982,0.2738738881198575,0.05477477762397151,0.328648665743829,0.15446487289959962,0.5663712006318653
Outer road,False Ashoka,Polyalthia longifolia,1,8,2.5465,2.5465,11.0,520,0.24189987986944697,0.00967599519477788,0.25157587506422485,0.05031517501284497,0.30189105007706984,0.14188879353622283,0.5202589096328171
BW Block D-Mess,Guava,Psidium guajava,3,8,2.5465,3.3514,9.0,670,0.4353579012183628,0.017414316048734512,0.4527722172670973,0.09055444345341947,0.5433266607205168,0.2553635305386429,0.9363329453083573
BW Block C-D,Guava,Psidium guajava,4,8,2.5465,3.6013,11.0,670,0.6093571171650238,0.024374284686600953,0.6337314018516248,0.12674628037032495,0.7604776822219498,0.35742451064431635,1.3105565390291598
BW Block B-C,Coromandel Ailanto,Ailanthus excelsa,2,10,3.1831,3.7854,6.0,540,0.30114883291807526,0.01204595331672301,0.3131947862347983,0.06263895724695966,0.37583374348175796,0.17664185943642624,0.6476868179335629
Mess front,Bamboo,Bambusa sp.,37,10,3.1831,3.1831,16.0,600,0.6198342058196379,0.024793368232785516,0.6446275740524234,0.1289255148104847,0.7735530888629081,0.3635699517655668,1.3330898231404116
Outer road,Mango,Mangifera indica,1,10,3.1831,3.1831,11.0,520,0.37393605328050167,0.014957442131220067,0.38889349541172175,0.07777869908234436,0.4666721944940661,0.21933593141221105,0.8042317485114405
BW Block A-B,Mango,Mangifera indica,10,10,3.1831,5.6604,11.0,520,1.1502471636880236,0.046009886547520945,1.1962570502355445,0.23925141004710893,1.4355084602826533,0.6746889763328471,2.473859579887106
Outer road,False Ashoka,Polyalthia longifolia,1,10,3.1831,3.1831,10.0,520,0.34072035474363965,0.013628814189745587,0.35434916893338525,0.07086983378667705,0.4252190027200623,0.19985293127842926,0.7327940813542406
Outer road,False Ashoka,Polyalthia longifolia,1,10,3.1831,3.1831,13.0,520,0.4401561669789596,0.017606246679158385,0.457762413658118,0.0915524827316236,0.5493148963897416,0.25817800130317853,0.9466526714449879
Outer road,False Ashoka,Polyalthia longifolia,1,10,3.1831,3.1831,13.0,520,0.4401561669789596,0.017606246679158385,0.457762413658118,0.0915524827316236,0.5493148963897416,0.25817800130317853,0.9466526714449879
BW Block B-C,Guava,Psidium guajava,2,10,3.1831,3.7854,12.0,670,0.7311713369590216,0.029246853478360865,0.7604181904373825,0.1520836380874765,0.912501828524859,0.42887585940668366,1.5725448178245067
BW Block B-C,guava,Psidium guajava,5,10,3.1831,4.7598,12.0,670,1.1433998194961226,0.04573599277984491,1.1891358122759674,0.2378271624551935,1.426962974731161,0.6706725981236457,2.459132859786701
BW Block A-B,Coromandel Ailanto,Ailanthus excelsa,2,12,3.8197,4.5424,5.5,540,0.39486297302634654,0.015794518921053862,0.4106574919474004,0.08213149838948008,0.4927889903368805,0.23161082545833384,0.849239693347224
BW Block A-B,Coromandel Ailanto,Ailanthus excelsa,3,12,3.8197,5.027,6.0,540,0.5239163335276248,0.020956653341104994,0.5448729868687298,0.10897459737374596,0.6538475842424757,0.30730836459396355,1.126797336844533
Outer road,mango,Mangifera indica,1,12,3.8197,3.8197,12.0,520,0.5810805365637491,0.023243221462549965,0.6043237580262991,0.12086475160525983,0.7251885096315589,0.34083859952683265,1.2497415315983864
BW Block C-D,Mango,Mangifera indica,2,12,3.8197,4.5424,11.0,520,0.7486083047376733,0.02994433218950693,0.7785526369271802,0.15571052738543606,0.9342631643126162,0.4391036872269296,1.6100468531654084
Outer road,False Ashoka,Polyalthia longifolia,1,12,3.8197,3.8197,14.0,520,0.6754238555186822,0.02701695422074729,0.7024408097394295,0.1404881619478859,0.8429289716873154,0.3961766166930382,1.4526475945411401
Outer road,False Ashoka,Polyalthia longifolia,1,12,3.8197,3.8197,9.0,520,0.43882981013612676,0.017553192405445072,0.4563830025415718,0.09127660050831438,0.5476596030498861,0.2574000134334465,0.9438000492559704
BW Block F - E,Guava,Psidium guajava,5,12,3.8197,5.7118,9.0,670,1.2326098714139577,0.04930439485655831,1.281914266270516,0.2563828532541032,1.5382971195246193,0.7229996461765711,2.6509987026474273
Outer road,False Ashoka,Polyalthia longifolia,1,14,4.4563,4.4563,11.0,520,0.7211600434783674,0.028846401739134695,0.750006445217502,0.1500012890435004,0.9000077342610024,0.42300363510267114,1.551013328709794
Outer road,False Ashoka,Polyalthia longifolia,1,14,4.4563,4.4563,10.0,520,0.6571014045991705,0.02628405618396682,0.6833854607831373,0.13667709215662746,0.8200625529397648,0.38542939988168945,1.413241132899528
BW Block F - E,Guava,Psidium guajava,3,14,4.4563,5.8649,8.0,670,1.1569766993875397,0.04627906797550159,1.2032557673630413,0.24065115347260826,1.4439069208356496,0.6786362527927553,2.4883329269067693
BW Block H - G,Guava,Psidium guajava,4,14,4.4563,6.3022,12.0,670,1.9776694545598343,0.07910677818239338,2.056776232742228,0.4113552465484456,2.4681314792906734,1.1600217952666165,4.253413249310927
Outer road,mango,Mangifera indica,1,15,4.7746,4.7746,11.0,520,0.8251228232278665,0.03300491292911466,0.8581277361569811,0.17162554723139622,1.0297532833883773,0.48398404319253735,1.774608158372637
BW Block A-B,Jamun,Syzygium cumini,3,15,4.7746,6.2838,12.0,560,1.650659552644117,0.06602638210576468,1.7166859347498817,0.3433371869499764,2.0600231216998584,0.9682108671989333,3.5501065130627554
BW Block C-D,Sagwan/Teek,Tectona grandis,1,15,4.7746,4.7746,11.0,550,0.871552035667799,0.03486208142671196,0.906414117094511,0.18128282341890223,1.0876969405134131,0.5112175620413042,1.8744643941514487
BW Block E-Mess,Neem,Azadirachta indica,2,16,5.093,6.0566,9.0,690,1.4222739759190342,0.05689095903676137,1.4791649349557956,0.2958329869911591,1.7749979219469547,0.8342490233150687,3.058913085488585
Mess front,Bamboo,Bambusa sp.,30,16,5.093,5.093,14.0,600,1.361834284092627,0.05447337136370508,1.416307655456332,0.28326153109126645,1.6995691865475986,0.7987975176773713,2.9289242314836947
BW Block A-B,Sagwan/Teek,Tectona grandis,1,16,5.093,5.093,8.0,550,0.7244985028769296,0.028979940115077187,0.7534784429920068,0.15069568859840138,0.9041741315904082,0.4249618418474918,1.5581934201074699
BW Block C-D,Neem,Azadirachta indica,2,18,5.7296,6.8137,9.0,690,1.7899302093469716,0.07159720837387887,1.8615274177208505,0.37230548354417015,2.2338329012650204,1.0499014635945596,3.8496386998467185
Outer road,gulmohar,Delonix regia,1,18,5.7296,5.7296,8.0,400,0.6681901723788899,0.026727606895155596,0.6949177792740455,0.13898355585480912,0.8339013351288547,0.39193362751056166,1.437089967538726
BW Block C-D,Mango,Mangifera indica,2,18,5.7296,6.8137,12.0,520,1.798369198608705,0.0719347679443482,1.8703039665530532,0.37406079331061065,2.244364759863664,1.054851437135922,3.8677886028317143
BW Block C-D,Mango,Mangifera indica,2,18,5.7296,6.8137,11.0,520,1.6519512244647983,0.06607804897859193,1.7180292734433902,0.34360585468867805,2.0616351281320684,0.9689685102220721,3.552884537480931
Outer road,Sapodilla,Manilkara zapota,1,18,5.7296,5.7296,8.0,820,1.346393022230655,0.0538557208892262,1.4002487431198813,0.2800497486239763,1.6802984917438577,0.7897402911196131,2.8957144007719147
Mess front,mulberry,Morus alba,3,18,5.7296,7.5405,8.0,550,1.5585113094600016,0.062340452378400066,1.6208517618384017,0.3241703523676804,1.9450221142060822,0.9141603936768585,3.3519214434818143
BW Block A-B,Mulberry,Morus alba,4,18,5.7296,8.1028,6.0,550,1.354379659133905,0.054175186365356204,1.4085548454992611,0.2817109690998522,1.6902658145991134,0.7944249328615832,2.9128914204924716
Outer road,False Ashoka,Polyalthia longifolia,1,18,5.7296,5.7296,13.0,520,1.3864419172344578,0.05545767668937831,1.4418995939238362,0.28837991878476726,1.7302795127086035,0.8132313709730435,2.9818483602344927
Outer road,False Ashoka,Polyalthia longifolia,1,18,5.7296,5.7296,8.0,520,0.8631947607256729,0.03452779042902692,0.8977225511546998,0.17954451023093998,1.0772670613856397,0.5063155188512506,1.8564902357879187
BW Block A-B,Guava,Psidium guajava,6,18,5.7296,8.9673,12.0,670,3.9367750968516657,0.15747100387406662,4.094246100725733,0.8188492201451466,4.913095320870879,2.309154800809313,8.466900936300814
BW Block A-B,Guava,Psidium guajava,6,18,5.7296,8.9673,10.0,670,3.2950325462944905,0.13180130185177963,3.42683384814627,0.685366769629254,4.112200617775524,1.932734290354496,7.086692397966485
Outer road,Neem,Azadirachta indica,1,19,6.0479,6.0479,8.0,690,1.2642698656446811,0.050570794625787244,1.3148406602704683,0.2629681320540937,1.577808792324562,0.7415701323925441,2.7190904854393283
BW Block C-D,Neem,Azadirachta indica,2,19,6.0479,7.1922,10.0,690,2.204580308468309,0.08818321233873237,2.2927635208070414,0.4585527041614083,2.7513162249684497,1.2931186257351712,4.741434961028961
BW Block F - E,Mango,Mangifera indica,2,19,6.0479,7.1922,11.0,520,1.8358100180278116,0.07343240072111247,1.909242418748924,0.38184848374978486,2.291090902498709,1.0768127241743932,3.948313321972775
Outer road,False Ashoka,Polyalthia longifolia,1,19,6.0479,6.0479,8.0,520,0.9592732572418774,0.038370930289675094,0.9976441875315525,0.1995288375063105,1.197173025037863,0.5626713217677956,2.06312817981525
Outer road,Sagwan/Teek,Tectona grandis,1,19,6.0479,6.0479,9.0,550,1.136689689754619,0.04546758759018476,1.1821572773448037,0.23643145546896074,1.4185887328137645,0.6667367044224692,2.4447012495490537
Outer road,False Ashoka,Polyalthia longifolia,1,22,7.0028,7.0028,14.0,520,2.2050868221746978,0.08820347288698792,2.2932902950616856,0.45865805901233714,2.7519483540740226,1.2934157264147905,4.742524330187565
Outer road,False Ashoka,Polyalthia longifolia,1,22,7.0028,7.0028,12.0,520,1.8970799200080726,0.0758831968003229,1.9729631168083954,0.3945926233616791,2.3675557401700744,1.112751197879935,4.080087725559761
Outer road,False Ashoka,Polyalthia longifolia,1,22,7.0028,7.0028,14.0,520,2.2050868221746978,0.08820347288698792,2.2932902950616856,0.45865805901233714,2.7519483540740226,1.2934157264147905,4.742524330187565
Outer road,False Ashoka,Polyalthia longifolia,1,22,7.0028,7.0028,12.0,520,1.8970799200080726,0.0758831968003229,1.9729631168083954,0.3945926233616791,2.3675557401700744,1.112751197879935,4.080087725559761
BW Block C-D,Sagwan/Teek,Tectona grandis,1,22,7.0028,7.0028,9.0,550,1.513282959998624,0.06053131839994496,1.573814278398569,0.3147628556797138,1.8885771340782826,0.8876312530167928,3.2546479277282403
BW Block D-Mess,Coromandel Ailanto,Ailanthus excelsa,2,23,7.3211,8.7063,6.0,540,1.5306018569075523,0.061224074276302096,1.5918259311838545,0.3183651862367709,1.9101911174206254,0.8977898251876939,3.291896025688211
Outer road,False Ashoka,Polyalthia longifolia,1,23,7.3211,7.3211,14.0,520,2.4049624735467865,0.09619849894187146,2.501160972488658,0.5002321944977316,3.00139316698639,1.4106547884836032,5.172400891106545
Outer road,False Ashoka,Polyalthia longifolia,1,23,7.3211,7.3211,10.0,520,1.73175855323526,0.0692703421294104,1.8010288953646703,0.36020577907293405,2.1612346744376043,1.015780296985674,3.7245277556141376
